full_nm	brand_nm	keyword	store_nm	addr	poiid	lon_x	lat_y	tel_no	fax_no	is_dining	is_parking	is_lavatory	is_atm	is_7wifi	is_ice	is_hot_dog	is_health_stations	is_ice_cream	is_open_store	is_fruit	is_city_cafe	is_union_pay	is_organic	is_corn	is_makeup	is_muji	is_mister_donuts	is_star_bucks	is_ibon	is_tea	is_sweet_potato	special_store_kind	store_url	data_time
統一超商八大	統一超商	7-11	八大	嘉義市西區保福里八德路237號	131560              	120.430123	23.488713999999998	(05)2910423         	(05)2311495         	Y	N	Y	Y	Y	N	N	Y	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八斗子	統一超商	7-11	八斗子	基隆市中正區北寧路327號1樓	148498              	121.796067577959	25.1396702541301	(02)24694510        	(02)24690121        	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八仙	統一超商	7-11	八仙	新北市八里區中華路二段292號296號298號1樓	111681              	121.404333	25.148889999999998	(02)86304517        	(02)86301029        	Y	N	N	Y	Y	Y	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八甲	統一超商	7-11	八甲	台南市歸仁區八甲里中正北路一段194號	902779              	120.296015	22.974097999999998	(06)2398072         	(06)2398092         	Y	N	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八角店	統一超商	7-11	八角店	桃園市蘆竹區大竹路5號	922474              	121.27436999999999	25.012083	(03)2151993         	(03)3414566         	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八里	統一超商	7-11	八里	新北市八里區中山路二段343號1樓	991458              	121.399459	25.147105999999997	(02)26193747        	(02)26194415        	Y	N	Y	Y	Y	Y	N	Y	Y	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八卦寮	統一超商	7-11	八卦寮	高雄市仁武區大灣里八德南路499號	127376              	120.341118	22.676872	(07)3724588         	(07)3748617         	Y	N	Y	Y	Y	N	Y	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八勇	統一超商	7-11	八勇	桃園市八德區忠勇街197號	151450              	121.303747	24.962201999999998	(03)3760357         	(03)3754438         	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八悅	統一超商	7-11	八悅	花蓮縣壽豐鄉平和村中華路二段215號	126661              	121.52461199999999	23.890179	(03)8664224         	(03)8664311         	Y	Y	Y	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八堵站	統一超商	7-11	八堵站	基隆市暖暖區八堵路142號	170967              	121.729002	25.108439999999998	(02)24565483        	                    	N	N	N	N	Y	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八福	統一超商	7-11	八福	桃園市八德區福國街76-1號	120571              	121.293269	24.957535	(03)3714641         	(03)3634128         	Y	N	Y	N	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八德介壽	統一超商	7-11	八德介壽	桃園市八德區介壽路二段214號1樓	173829              	121.29811099999999	24.951981999999997	(03)3633890         	(03)3634901         	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商八德建國	統一超商	7-11	八德建國	桃園市八德區建國路165號	942043              	121.287134	24.934378	(03)3689752         	(03)3689185         	Y	N	N	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商力大	統一超商	7-11	力大	台南市東區生產路299號	164951              	120.22975	22.965253999999998	(06)2683042         	(06)2682361         	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商力成科	統一超商	7-11	力成科	新竹縣湖口鄉大同路26號6樓	990710              	121.00023999999999	24.870351	(03)5972154         	(03)5972481         	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商力成貳	統一超商	7-11	力成貳	新竹縣湖口鄉三民路7號B1	990846              	120.99853599898299	24.867593313459796	(03)5974877         	(03)6960849         	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商十七街	統一超商	7-11	十七街	新竹市東區金山十七街1號	977876              	121.024061016577	24.776699996074502	(03)5798357         	(03)5779514         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商十八甲	統一超商	7-11	十八甲	新北市泰山區福興一街87號	150974              	121.432009	25.057738999999998	(02)85314338        	(02)85314823        	Y	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商十興	統一超商	7-11	十興	新竹縣竹北市莊敬北路130號	131098              	121.02466001706199	24.825725167255698	(03)6589536         	(03)8363175         	Y	N	Y	Y	Y	Y	Y	Y	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三中	統一超商	7-11	三中	台中市西區忠明路54之1號1樓	113724              	120.661103	24.159014	(04)23146826        	(04)23137883        	Y	N	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三井	統一超商	7-11	三井	雲林縣西螺鎮振興振興里振興路118號	902322              	120.470602	23.789105	(05)5878875         	(05)5880140         	Y	Y	Y	Y	Y	Y	Y	N	Y	Y	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三元	統一超商	7-11	三元	桃園市桃園區大業路1段54號56號1樓	122315              	121.317916224145	25.0048127912678	(03)3311502         	(03)3314080         	Y	N	N	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三爪坑	統一超商	7-11	三爪坑	新北市瑞芳區三爪子坑路15號17號	126959              	121.813879	25.107544999999998	(02)24978934        	(02)24970740        	Y	N	Y	Y	Y	Y	N	Y	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三玉	統一超商	7-11	三玉	台北市士林區天母東路88之1號1樓	174028              	121.53580738383899	25.1180611841008	(02)28744580        	(02)28748371        	N	N	N	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三禾	統一超商	7-11	三禾	新北市三重區大智街139號139之2號1樓	131157              	121.490777	25.071002	(02)29818723        	(02)29810525        	Y	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三立	統一超商	7-11	三立	新竹縣湖口鄉湖鏡村八德路一段718號	910806              	121.05233299999999	24.877585	(03)5693326         	(03)5692055         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三光	統一超商	7-11	三光	桃園市中壢區中央西路二段259號259-1號1樓	138538              	121.21180299999999	24.96125	(03)4029671         	(03)4934988         	Y	N	Y	Y	Y	Y	N	N	N	N	Y	Y	N	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三多利	統一超商	7-11	三多利	屏東縣九如鄉大坵村九如路三段56號1樓	122810              	120.490988	22.746337999999998	(08)7750032         	(08)7397477         	Y	Y	Y	Y	Y	Y	Y	N	Y	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三好	統一超商	7-11	三好	新北市三重區自強路四段102號104號1樓	159465              	121.491267	25.079812	(02)89857653        	(02)89851851        	Y	N	Y	Y	Y	Y	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三安	統一超商	7-11	三安	新北市三重區正義北路235號	128863              	121.49586199999999	25.069228	(02)29835596        	(02)29826084        	N	N	N	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三村	統一超商	7-11	三村	台南市永康區鹽行里仁愛街68號70號1樓	990499              	120.2392	23.044292	(06)2433141         	(06)2430870         	Y	N	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三芝	統一超商	7-11	三芝	新北市三芝區中正路1段61號63號1樓	122360              	121.503445	25.257852999999997	(02)86353879        	(02)86354163        	Y	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三春	統一超商	7-11	三春	彰化縣花壇鄉彰員路一段臨551號	132611              	120.566649	24.014250999999998	(04)7875146         	(04)7876249         	Y	Y	Y	Y	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三星	統一超商	7-11	三星	宜蘭縣三星鄉義德村三星路5段228號	965596              	121.64868	24.665758	(03)9894704         	(03)9893277         	Y	Y	Y	Y	Y	N	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三洋	統一超商	7-11	三洋	新北市新莊區中正路677號679號	177245              	121.426334	25.029829	(02)29088626        	(02)29084199        	Y	N	Y	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三重	統一超商	7-11	三重	新北市三重區重新路3段18號	989411              	121.49501599999999	25.061408999999998	(02)29727244        	(02)29747525        	Y	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三勝	統一超商	7-11	三勝	雲林縣麥寮鄉三盛村仁德西路一段21號1樓	969071              	120.265406	23.796986	(05)6915741         	(05)6910342         	Y	Y	Y	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三越	統一超商	7-11	三越	台東縣台東市中華路一段175號	126513              	121.156723	22.757797999999998	(089)335157         	(089)342656         	Y	N	Y	Y	Y	N	N	Y	N	N	N	Y	N	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三暉	統一超商	7-11	三暉	新北市樹林區樹福里復興路1號	934606              	121.42293699999999	24.995013999999998	(02)26868745        	(02)26868843        	N	N	Y	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三義	統一超商	7-11	三義	苗栗縣三義鄉中正路118號	870766              	120.771913	24.413579	(037)876099         	(037)870553         	Y	N	N	Y	Y	N	N	N	Y	N	N	Y	Y	N	N	N	Y	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三靖	統一超商	7-11	三靖	新北市鶯歌區三鶯路52號一樓	950907              	121.357137	24.942214	(02)26746991        	(02)86717045        	Y	N	Y	Y	Y	N	N	N	N	N	Y	N	N	Y	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三福	統一超商	7-11	三福	高雄市仁武區仁武里中正路175號1樓	982694              	120.350156	22.702216	(07)3751295         	(07)3757417         	Y	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三德	統一超商	7-11	三德	台北市大同區承德路三段55號57號1樓	122463              	121.51858836960999	25.065332000223098	(02)25955432        	(02)25995491        	Y	N	Y	Y	Y	N	N	N	N	N	N	N	Y	N	N	Y	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三樂	統一超商	7-11	三樂	台北市士林區劍潭路21號1樓	131984              	121.522695	25.084128999999997	(02)28832921        	(02)28830712        	Y	N	Y	Y	Y	N	Y	N	Y	N	Y	N	N	Y	N	N	Y	N	N	Y	Y	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三興	統一超商	7-11	三興	台北市信義區吳興街156巷2弄2號4號1樓	149697              	121.56139239950299	25.0291858733115	(02)27335027        	(02)27337856        	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三豐路	統一超商	7-11	三豐路	台中市豐原區三豐路909號	997766              	120.721553	24.271544	(04)25247784        	(04)25262453        	Y	Y	Y	Y	Y	N	N	N	N	N	N	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商三灣	統一超商	7-11	三灣	苗栗縣三灣鄉中正路255號與文化街13號	164515              	120.956801	24.655780999999998	(037)834838         	(037)834106         	Y	N	N	Y	Y	Y	N	Y	N	N	N	N	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
統一超商下竹圍	統一超商	7-11	下竹圍	新北市三重區下竹圍街26號	125646              	121.480981	25.075512999999997	(02)22800646        	(02)22807394        	Y	N	Y	Y	Y	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	Y	N	N		http://emap.pcsc.com.tw/emap.aspx	2016-09-19T14:36:53+0800
